t,mem_avail_mib,mem_free_mib,cached_mib,anon_mib,swap_used_mib,pswpout,pswpin,vllm_anon_mib,vllm_file_mib,vllm_swap_mib,vllm_procs,gpu0,gpu1,gpu2,gpu3,gpu4
06:11:26,21924,261,25670,2471,13702,233670727,152469226,802,1110,6891,6,42267,26240,42051,26240,4
06:11:27,21901,263,25657,2492,13700,233670727,152474853,808,1310,6885,6,42267,26240,42051,26240,4
06:11:28,21892,370,25529,2512,13700,233670798,152480759,817,1535,6877,6,42267,26240,42051,26240,4
06:11:29,21887,371,25522,2517,13682,233671184,152483056,820,1672,6874,6,42267,26240,42051,26240,4
06:11:30,21838,254,25590,2529,13682,233671184,152485895,824,1811,6870,6,42267,26240,42051,26240,4
06:11:31,21837,296,25547,2546,13675,233671708,152491530,832,2043,6862,6,42267,26240,42051,26240,4
06:11:32,21826,272,25559,2558,13675,233672206,152495690,841,2266,6854,6,42267,26240,42051,26240,4
06:11:33,21815,273,25546,2563,13676,233673113,152499902,851,2502,6844,6,42267,26240,42051,26240,4
06:11:34,21799,225,25577,2569,13676,233673264,152502756,860,2732,6836,6,42267,26240,42051,26240,4
06:11:35,21778,431,25348,2574,13676,233673515,152506067,869,2963,6828,6,42267,26240,42051,26240,4
06:11:37,21759,368,25389,2582,13678,233674527,152509208,878,3211,6819,6,42267,26240,42051,26240,4
06:11:38,21915,203,25711,2435,13689,233691579,152513759,877,3392,6818,6,42267,26240,42051,26240,4
06:11:39,21931,244,25686,2450,13689,233692217,152519929,895,1236,6803,6,42267,26240,42051,26240,4
06:11:40,21924,249,25673,2459,13690,233692787,152523132,904,1466,6794,6,42267,26240,42051,26240,4
06:11:41,21889,323,25563,2479,13690,233693638,152526224,914,1698,6785,6,42267,26240,42051,26240,4
06:11:42,21883,423,25457,2484,13690,233694420,152529371,921,1909,6778,6,42267,26240,42051,26240,4
06:11:43,21931,461,25466,2423,13654,233695375,152532795,930,2135,6770,6,42267,26240,42051,26240,4
06:11:44,21933,434,25495,2425,13654,233695911,152535719,938,2354,6762,6,42267,26240,42051,26240,4
06:11:45,21938,305,25629,2410,13656,233696757,152539344,948,2568,6753,6,42267,26240,42051,26240,4
06:11:46,21905,232,25704,2411,13658,233699130,152543707,958,2794,6743,6,42267,26240,42051,26240,4
06:11:48,21943,270,25669,2396,13655,233704516,152550177,968,3005,6734,6,42267,26240,42051,26240,4
06:11:49,21935,260,25671,2406,13655,233705912,152555352,976,3214,6726,6,42267,26240,42051,26240,4
06:11:50,21913,239,25669,2428,13655,233706107,152561906,997,1067,6705,6,42267,26240,42051,26240,4
06:11:51,21868,337,25575,2444,13655,233706253,152566326,1011,1292,6692,6,42267,26240,42051,26240,4
06:11:52,21873,330,25540,2471,13651,233706422,152570992,1023,1515,6680,6,42267,26240,42051,26240,4
06:11:53,21781,283,25495,2563,13650,233707016,152574706,1032,1728,6671,6,42267,26240,42051,26240,4
06:11:54,21689,309,25375,2641,13650,233707040,152578384,1041,1939,6663,6,42267,26240,42051,26240,4
06:11:55,21667,281,25381,2664,13650,233707117,152582674,1050,2176,6654,6,42267,26240,42051,26240,4
06:11:56,21650,253,25392,2680,13650,233707117,152587233,1060,2399,6645,6,42267,26240,42051,26240,4
06:11:58,21635,337,25292,2688,13650,233707212,152589857,1068,2627,6637,6,42267,26240,42051,26240,4
06:11:59,21611,299,25307,2697,13650,233707212,152593012,1078,2855,6628,6,42267,26240,42051,26240,4
06:12:00,21585,319,25261,2710,13649,233707233,152596882,1087,3072,6619,6,42267,26240,42051,26240,4
06:12:01,21558,351,25203,2738,13649,233707233,152600794,1097,3308,6609,6,42267,26240,42051,26240,4
06:12:02,21579,404,25171,2742,13649,233707345,152605806,1113,1171,6594,6,42267,26240,42051,26240,4
06:12:03,21679,253,25506,2589,13662,233733004,152611882,1028,1321,6679,6,42267,26240,42051,26240,4
06:12:04,21886,235,25747,2389,13668,233741723,152617203,1041,1524,6667,6,42267,26240,42051,26240,4
06:12:05,21927,280,25665,2404,13667,233741819,152621217,1052,1733,6657,6,42267,26240,42051,26240,4
06:12:07,21913,245,25673,2420,13667,233741829,152625073,1063,1965,6646,6,42267,26240,42051,26240,4
06:12:08,21905,346,25565,2402,13667,233742514,152628756,1074,2180,6635,6,42267,26240,42051,26240,4
06:12:09,21901,388,25516,2414,13667,233742514,152632130,1084,2413,6626,6,42267,26240,42051,26240,4
06:12:10,21882,408,25479,2425,13667,233742517,152635620,1095,2633,6616,6,42267,26240,42051,26240,4
06:12:11,21837,364,25478,2471,13667,233742712,152644379,1104,2839,6607,6,42267,26240,42051,26240,4
06:12:12,21810,449,25366,2489,13667,233742981,152649939,1113,3073,6598,6,42267,26240,42051,26240,4
06:12:13,21801,296,25510,2498,13666,233743286,152652631,1123,3306,6589,6,42267,26240,42051,26240,4
06:12:14,21804,288,25521,2522,13664,233743660,152658387,1146,1161,6566,6,42267,26240,42051,26240,4
06:12:15,21778,272,25512,2549,13663,233743661,152664334,1160,1370,6553,6,42267,26240,42051,26240,4
06:12:16,21739,344,25399,2568,13662,233743663,152667981,1173,1577,6540,6,42267,26240,42051,26240,4
06:12:18,21733,326,25411,2590,13648,233743664,152672469,1185,1806,6528,6,42267,26240,42051,26240,4
06:12:19,21722,306,25419,2611,13648,233743664,152676841,1199,2027,6515,6,42267,26240,42051,26240,4
06:12:20,21699,273,25429,2633,13645,233744469,152682207,1213,2251,6501,6,42267,26240,42051,26240,4
06:12:21,21675,241,25438,2652,13645,233745191,152686117,1229,2477,6486,6,42267,26240,42051,26240,4
06:12:22,21685,255,25434,2646,13645,233745734,152688950,1247,2691,6468,6,42267,26240,42051,26240,4
06:12:23,21683,255,25432,2661,13645,233746532,152691989,1265,2931,6451,6,42267,26240,42051,26240,4
06:12:24,21674,264,25414,2675,13645,233747286,152694789,1282,3160,6435,6,42267,26240,42051,26240,4
06:12:25,21615,276,25343,2728,13645,233747842,152702080,1311,996,6407,6,42267,26240,42051,26240,4
06:12:26,21638,456,25186,2752,13645,233747855,152705005,1331,1220,6387,6,42267,26240,42051,26240,4
06:12:27,21596,393,25206,2767,13645,233747891,152708011,1346,1451,6372,6,42267,26240,42051,26240,4
06:12:29,21575,352,25226,2786,13645,233747891,152711360,1361,1689,6357,6,42267,26240,42051,26240,4
06:12:30,21780,247,25633,2542,13729,233791273,152718227,1180,1807,6538,6,42267,26240,42051,26240,4
06:12:31,21964,409,25561,2452,13740,233807454,152727985,1199,1966,6520,6,42267,26240,42051,26240,4
06:12:32,21933,366,25571,2474,13736,233807754,152734177,1209,2168,6510,6,42267,26240,42051,26240,4
06:12:33,21903,366,25541,2497,13735,233808246,152740670,1222,2392,6497,6,42267,26240,42051,26240,4
06:12:34,21882,340,25547,2517,13735,233808875,152746789,1235,2609,6485,6,42267,26240,42051,26240,4
06:12:35,21867,334,25538,2541,13736,233809986,152753083,1246,2831,6474,6,42267,26240,42051,26240,4
06:12:36,21832,426,25410,2564,13736,233810693,152758909,1261,3038,6460,6,42267,26240,42051,26240,4
06:12:38,21801,408,25397,2584,13732,233810728,152765382,1275,3240,6446,6,42267,26240,42051,26240,4
06:12:39,21788,386,25405,2620,13733,233811207,152777900,1311,1098,6411,6,42267,26240,42051,26240,4
06:12:40,21774,358,25420,2636,13734,233811782,152782383,1328,1319,6395,6,42267,26240,42051,26240,4
06:12:41,21770,342,25432,2631,13734,233811928,152785696,1341,1555,6381,6,42267,26240,42051,26240,4
06:12:42,21759,393,25371,2649,13734,233811928,152788502,1358,1783,6366,6,42267,26240,42051,26240,4
06:12:43,21737,388,25353,2660,13734,233811928,152791551,1365,2016,6358,6,42267,26240,42051,26240,4
06:12:44,21712,351,25364,2682,13734,233811928,152796644,1370,2216,6354,6,42267,26240,42051,26240,4
06:12:45,21680,321,25363,2712,13734,233811928,152803339,1376,2415,6348,6,42267,26240,42051,26240,4
06:12:46,21653,387,25270,2734,13734,233811928,152808076,1383,2644,6342,6,42267,26240,42051,26240,4
06:12:47,21651,402,25252,2730,13734,233811928,152812493,1390,2854,6336,6,42267,26240,42051,26240,4
06:12:49,21644,384,25263,2742,13734,233811928,152815507,1397,3092,6328,6,42267,26240,42051,26240,4
06:12:50,21627,344,25287,2752,13734,233811928,152817871,1405,3321,6322,6,42267,26240,42051,26240,4
06:12:51,20961,2832,22132,3461,13731,233811928,152819713,2154,1728,6315,6,42267,26240,42051,26240,4
06:12:52,21600,3738,21865,2763,13742,233828165,152828043,1361,2200,6365,6,40301,26240,40319,26240,4
06:12:53,21190,2646,22548,3223,13753,233852604,152832896,2046,2957,6441,6,40301,26240,40319,26240,4
06:12:54,21812,3653,22164,2591,13753,233854162,152836535,1299,3473,6427,6,40301,26240,40319,26240,4
06:12:55,21728,2687,23046,2614,13753,233854162,152838489,1309,3683,6418,6,40301,26240,40319,26240,4
06:12:56,21646,1705,23944,2622,13753,233854162,152840330,1314,3913,6413,6,40301,26240,40319,26240,4
06:12:58,21705,916,24793,2633,13753,233854162,152843186,1325,1060,6402,6,40301,26240,40319,26240,4
06:12:59,21704,300,25424,2693,13751,233854819,152844726,1326,1184,6401,6,40301,26240,40319,26240,4
06:13:00,21660,620,25042,2756,13743,233856967,152850164,1340,1230,6389,6,40301,26240,40331,26240,4
06:13:01,21273,2245,23235,2776,13748,233862421,152863666,1343,1597,6385,6,40321,26240,40505,26240,28
06:13:02,21414,3205,22235,2788,13748,233863900,152868464,1344,1978,6385,6,40321,26240,40505,26240,5118
06:13:03,21373,2914,22484,2797,13748,233863900,152868866,1344,2361,6385,6,40321,26240,40505,26240,5118
06:13:04,21424,2854,22595,2796,13748,233864170,152869499,1344,2751,6385,6,40321,26240,40505,26240,5118
06:13:05,21406,4546,20886,2798,13749,233865461,152870402,1344,3115,6385,6,40321,26240,40505,26240,5118
06:13:06,21418,6377,19066,2790,13749,233867622,152871140,1344,3482,6385,6,40321,26240,40505,26240,5118
06:13:08,21392,8545,16871,2793,13749,233867622,152871343,1344,3845,6385,6,40321,26240,40505,26240,5118
06:13:09,21392,10113,15304,2796,13749,233867622,152871537,1344,4220,6384,6,40321,26240,40505,26240,5118
06:13:10,21389,11532,13883,2801,13749,233867622,152874804,1344,4592,6384,6,40321,26240,40505,26240,5118
06:13:11,21395,12731,12689,2823,13749,233867622,152878071,1344,4954,6384,6,40321,26240,40505,26240,5118
06:13:12,21363,12448,12942,2823,13749,233867622,152878237,1344,5326,6384,6,40321,26240,40505,26240,5118
06:13:13,21344,12181,13189,2823,13748,233867622,152878356,1344,5667,6384,6,40321,26240,40505,26240,5118
06:13:14,21279,12016,13289,2861,13748,233867622,152890220,1387,1022,6342,6,40321,28776,40505,28776,5118
06:13:15,21117,11769,13375,2972,13748,233867622,152926614,1484,1022,6245,6,40321,28776,40505,28776,5118
06:13:16,20988,11600,13414,3082,13746,233867622,152963144,1593,1022,6135,6,40321,28776,40505,28776,5118
06:13:18,20871,11299,13596,3184,13746,233867622,152996296,1688,1022,6040,6,40321,28776,40505,28776,5118
06:13:19,20724,11120,13629,3302,13746,233867622,153035139,1806,1022,5923,6,40321,28776,40505,28776,5118
06:13:20,20580,10927,13677,3483,13746,233867622,153068969,1986,1023,5742,6,40321,28776,40505,28776,5118
06:13:21,20414,10718,13721,3683,13746,233867622,153112105,2162,1024,5567,6,40321,28776,40505,28776,5118
06:13:22,20340,10595,13770,3767,13746,233867622,153133645,2234,1025,5494,6,40321,24524,40505,24524,5118
06:13:23,20319,10514,13829,3785,13746,233867622,153137243,2249,1029,5481,6,40321,24566,40505,24566,5118
06:13:24,20299,10434,13890,3789,13746,233867622,153137533,2249,1029,5481,6,40321,24566,40505,24566,5118
