t,mem_avail_mib,mem_free_mib,cached_mib,anon_mib,swap_used_mib,pswpout,pswpin,vllm_anon_mib,vllm_file_mib,vllm_swap_mib,vllm_procs,gpu0,gpu1,gpu2,gpu3,gpu4
17:47:54,5506,845,21491,5702,16958,204994378,135827264,3734,1260,5756,6,38481,25980,38481,25980,9660
17:47:55,5320,649,21497,5894,16864,204994378,135853784,3914,1267,5667,6,38481,25980,38481,25980,9660
17:47:56,4596,400,21033,6557,16847,204994780,135858459,4649,1426,5656,6,38937,26002,38937,26002,9660
17:47:57,4420,540,20716,6691,16846,204995235,135859319,4686,1434,5655,6,38937,26042,38937,26042,9660
17:47:58,4394,504,20726,6693,16844,204995235,135859673,4686,1434,5655,6,38957,26042,38957,26042,9660
17:47:59,4388,487,20737,6707,16830,204995235,135864020,4698,1441,5644,6,38683,25528,38683,25528,9660
17:48:00,4015,456,20393,7101,16806,204995903,135871740,5089,1488,5625,6,43391,30974,43391,30974,9660
17:48:01,3918,399,20359,7210,16751,204996161,135886798,5141,1499,5623,6,43433,30974,43433,30974,9660
17:48:03,3894,340,20392,7222,16749,204996161,135887272,5141,1499,5623,6,43433,30974,43433,30974,9660
17:48:04,3909,438,20310,7228,16743,204996581,135889400,5140,1499,5624,6,43433,30974,43433,30974,9660
17:48:05,3887,394,20332,7235,16739,204996581,135890062,5140,1499,5624,6,43433,30974,43433,30974,9660
17:48:06,3877,385,20331,7260,16730,204996891,135892553,5171,1503,5622,6,43433,31044,43433,31044,9660
17:48:07,3527,405,19960,7595,16741,205002534,135895327,5481,1629,5619,6,43469,31268,43469,31268,9660
17:48:08,3159,496,19506,7851,16731,205002867,135898574,5714,1807,5613,6,43469,31340,43469,31340,9660
17:48:09,2935,682,19093,8098,16717,205002919,135902678,5956,1780,5600,6,43469,31340,43469,31340,9660
17:48:10,2840,689,19039,8122,16675,205003130,135913824,5981,1781,5575,6,43469,31340,43469,31340,9660
17:48:11,2764,563,19069,8173,16633,205003130,135925812,6015,1782,5546,6,43469,31340,43469,31340,9660
17:48:12,2761,666,18941,8227,16582,205003146,135942353,6064,1782,5497,6,43469,31340,43469,31340,9660
17:48:14,2701,583,18963,8287,16523,205003146,135960409,6120,1782,5441,6,43469,31340,43469,31340,9660
17:48:15,2619,495,18970,8376,16450,205003146,135978399,6187,1782,5374,6,43469,31340,43469,31340,9660
17:48:16,2551,421,18975,8450,16383,205003146,135994656,6273,1783,5288,6,43469,31340,43469,31340,9660
17:48:17,2492,351,18985,8485,16383,205003146,136002981,6298,1787,5264,6,43469,31340,43469,31340,9660
17:48:18,2438,416,18866,8535,16383,205003216,136020148,6347,1788,5216,6,43469,31340,43469,31340,9660
17:48:19,2376,371,18849,8570,16383,205003273,136030508,6378,1789,5186,6,43469,31340,43469,31340,9660
17:48:20,2265,372,18742,8704,16347,205003366,136047394,6507,1792,5129,6,43469,31340,43469,31340,9660
